,LONGITUDE,LATITUDE,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,PHOTOURL,DESCRIPTION,NAME,ADDRESSTYPE,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D,APPROXIMATE_GFA,AWARDED_DATE,ADDRESSBUILDINGNAME,IMPLEMENTATION_DATE,CLEANINGSTARTDATE,INFO_ON_CO_LOCATORS,CLEANINGENDDATE,RNR_STATUS
79,103.846519219268,1.37219743270045,724,31/1/1980,Existing,39356.14,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,HUP Reconfiguration,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),I,2/1/2008,29469.07,Ang Mo Kio Ave 6,560724,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",8285869DC2133C35,20210330151704,,,,,,,,
80,103.839953165936,1.36723014879667,226H,30/9/1976,Existing,38806.88,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,HUP Reconfiguration,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),I,13/12/2003,28738.350000000002,Ang Mo Kio Street 22,568226,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",69908CB7FA26111C,20210330151704,,,,,,,,
81,103.955474150677,1.32035600765426,1,1971,Existing,33624.11,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,HUP Rebuilding,Bedok Food Centre,I,6/2/2005,41594.72,Bedok Road,469572,"1, Bedok Road, Singapore 469572",5074BAFF0FF40404,20210330151704,1081.18,,,,,,,
82,103.933221544751,1.32706240888967,216,21/8/1979,Existing,34365.56,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,HUP Standard Upgrading,Bedok North Street 1 Blk 216,I,15/12/2008,39118.19,Bedok North Street 1,460216,"Blk 216, Bedok North Street 1, Singapore 460216",B8E4DB8C5DC40E07,20210330151704,,,,,,,,
83,103.930602144469,1.33324627868937,511,16/3/1979,Existing,35049.33,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,HUP Standard Upgrading,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),I,1/7/2004,38826.65,Bedok North Street 3,460511,"Blk 511, Bedok North Street 3, Singapore 460511",29D02D34F4826475,20210330151704,,,,,,,,
84,103.924844235398,1.33178125123252,538,30/4/1979,Existing,34887.31,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,HUP Standard Upgrading,Bedok North Street 3 Blk 538,I,3/12/2010,38185.86,Bedok North Street 3,460538,"Blk 538, Bedok North Street 3, Singapore 460538",F1A5DD5A88C6320D,20210330151704,,,,,,,,
85,103.818402623449,1.2878581025663,79,1/1/1969,Existing,30030.33,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg,HUP Reconfiguration,Redhill Lane Blk 79 (Redhill Market),I,28/6/2005,26339.98,Redhill Lane,150079,"Blk 79, Redhill Lane, Singapore 150079",ECAC58C7830DA23E,20210330151704,,,,,,,,
86,103.775995008012,1.33937596351523,51,1975,Existing,35726.98,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,HUP Standard Upgrading,Bukit Timah Market,I,2/1/2003,21620.5,Upper Bukit Timah Road,588215,"51, Upper Bukit Timah Road, Singapore 588215",FD4DDC8C44684285,20210330151704,3310.64,,,,,,,
87,103.850225081031,1.31615991374589,41A,18/12/1981,Existing,33159.8,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,HUP Reconfiguration,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),I,7/3/2003,29881.53,Cambridge Road,211041,"Blk 41A, Cambridge Road, Singapore 211041",FBD170F330300185,20210330151704,,,,,,,,
88,103.988245749103,1.38915172065006,2&3,12/11/1975,Existing,41231.42,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,HUP Standard Upgrading,Changi Village Blk 2 and 3,I,28/12/2012,45241.4,Changi Village Road,500002,"Blk 2/3, Changi Village Road, Singapore 500002/500003",DC5973E8261726EB,20210330151704,,,,,,,,
89,103.866536130299,1.36422852315868,20,1972,Existing,38475,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,HUP Standard Upgrading,Chomp Chomp Food Centre,I,31/3/2004,31696.72,Kensington Park Road,557269,"20, Kensington Park Road, Singapore 557269",FD83AAB03A20C9C8,20210330151704,613.55,,,,,,,
90,103.882977999397,1.37542896666561,51,2/7/2015,Existing (new),39713.520000000004,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,New Centre,Ci Yuan Hawker Centre,,,33526.48,Hougang Avenue 9,538776,"51 Hougang Avenue 9, Singapore 538776",2AA90E9CB7222D3A,20210330151704,2047.29,,,,,hawker centre/community club/family medicine clinic/senior care centre,,
91,103.885043500019,1.32644992167231,79/79A,31/3/1971,Existing,34297.67,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,HUP Standard Upgrading,Circuit Road Blk 79/79A,I,11/5/2010,33756.46,Circuit Road,370079,"Blk 79/79A, Circuit Road, Singapore 370079/371079",B1F15E00618BA3B5,20210330151704,,,,,,,,
92,103.887128535137,1.32784956142548,80,1/9/1967,Existing,34452.44,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,HUP Reconfiguration,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),I,22/2/2003,33988.5,Circuit Road,370080,"Blk 80, Circuit Road, Singapore 370080",3BE7F742E98EBFE9,20210330151704,,,,,,,,
93,103.885449224256,1.32344525333847,89,1/9/1967,Existing,33965.43,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,HUP Standard Upgrading,Circuit Road Blk 89,I,8/4/2009,33801.62,Circuit Road,370089,"Blk 89, Circuit Road, Singapore 370089",4EDE2CCE3A356895,20210330151704,,,,,,,,
94,103.770836740843,1.31436772839327,353,26/1/1978,Existing,32961.71,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,HUP Standard Upgrading,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),I,25/10/2012,21046.37,Clementi Ave 2,120353,"Blk 353, Clementi Ave 2, Singapore 120353",42176A301ABBD91A,20210330151704,,,,,,,,
95,103.764510533078,1.31326486994113,448,12/1/1980,Existing,32839.78,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,HUP Standard Upgrading,Clementi Ave 3 Blk 448,I,29/10/2010,20342.32,Clementi Ave 3,120448,"Blk 448, Clementi Ave 3, Singapore 120448",FDAC6B2723D97329,20210330151704,,,,,,,,
